Creative Tracker — log every creative,,,,,,,,,
,,,,,,,,,
Filename,Angle,Format,Hook #,Character,Ratio,Date live,Spend,Hook Rate,CTR,ATC,Orders,Status
GUASHA_puffiness_BA_h01_female30_9x16,puffiness,BA,1,female30,9:16,,,,,,,
GUASHA_puffiness_DEMO_h03_female30_9x16,puffiness,DEMO,3,female30,9:16,,,,,,,
GUASHA_broke_TH_h04_female40_9x16,broke,TH,4,female40,9:16,,,,,,,
GUASHA_broke_DEMO_h05_none_9x16,broke,DEMO,5,none,9:16,,,,,,,
GUASHA_jaw_TH_h07_male35_9x16,jaw,TH,7,male35,9:16,,,,,,,
,,,,,,,,,,,,
KILL RULES,,,,,,,,,,,,
Hook Rate under 15% after 2000 impressions,KILL,,,,,,,,,,,
CTR under 0.8% after 3000 impressions,KILL,,,,,,,,,,,
Zero ATC after 50 clicks,KILL,,,,,,,,,,,
Zero orders after 100 clicks,KILL,,,,,,,,,,,
Frequency above 3.5,KILL,,,,,,,,,,,
