Weekly Scorecard — fill every Sunday,,,,,,
,,,,,,
Metric,Week 1,Week 2,Week 3,Week 4,Target,Action if off
Revenue,,,,,,
Ad spend,,,,,,
MER (Revenue / Ad spend),,,,,1.74+,Below 1.74 = losing money. Cut spend.
AOV,,,,,55+,Below 45 = build quantity breaks
Conversion Rate,,,,,2.0%+,Below 1.0% = product page problem
ATC Rate,,,,,5%+,Below 5% = product page problem
Checkout Rate (of ATC),,,,,45%+,Below 45% = shipping/price problem
Contribution Margin $,,,,,,
Frequency,,,,,1.8-2.5,Above 2.5 = refresh creative
Hook Rate,,,,,20%+,Below 15% = kill the ad
Refund Rate,,,,,under 8%,Above 8% = product mismatch
Chargeback Rate,,,,,under 0.65%,Above 0.65% = STOP SCALING
Email % of revenue,,,,,20%+,Below 20% = flows misconfigured
CASH AVAILABLE TO SPEND,,,,,400+,Below 400 = stop ads go organic
